invoice_line_no,date,store_id,item_id,sale_bottles,sale_liters,sale_dollars,state_bottle_cost,state_bottle_retail,cogs,gross_margin,margin_pct,is_return,has_cost
INV-200156,2026-04-25,4829,64866,6,4.5,224.94,24.99,37.49,149.94,75.0,0.3334222459322486,False,True
INV-200157,2026-05-01,5102,36308,5,5.0,33.75,4.5,6.75,22.5,11.25,0.3333333333333333,False,True
INV-200158,2026-06-16,4829,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200159,2026-02-25,3385,77779,5,1.88,60.5,11.0,12.1,55.0,5.5,0.09090909090909091,False,True
INV-200160,2026-05-01,4829,77779,4,1.5,48.4,11.0,12.1,44.0,4.399999999999999,0.09090909090909088,False,True
INV-200161,2026-04-05,2633,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200162,2026-07-07,2501,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200163,2026-04-17,5102,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200164,2026-05-03,2648,35918,10,17.5,134.9,8.99,13.49,89.9,45.0,0.3335804299481097,False,True
INV-200165,2026-04-07,2633,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200166,2026-06-15,2190,26827,11,8.25,206.25,12.5,18.75,137.5,68.75,0.3333333333333333,False,True
INV-200167,2026-07-24,4829,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200168,2026-04-17,2648,36308,3,3.0,20.25,4.5,6.75,13.5,6.75,0.3333333333333333,False,True
INV-200169,2026-07-24,3385,26827,12,9.0,225.0,12.5,18.75,150.0,75.0,0.3333333333333333,False,True
INV-200170,2026-03-06,2190,64866,2,1.5,74.98,24.99,37.49,49.98,25.000000000000007,0.3334222459322487,False,True
INV-200171,2026-05-19,2501,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200172,2026-04-16,2190,36308,15,15.0,101.25,4.5,6.75,67.5,33.75,0.3333333333333333,False,True
INV-200173,2026-04-25,4829,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200174,2026-05-16,2648,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200175,2026-06-25,3385,43336,6,4.5,74.28,8.25,12.38,49.5,24.78,0.3336025848142165,False,True
INV-200176,2026-05-23,2190,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200177,2026-04-26,2648,19067,12,9.0,323.88,17.99,26.99,215.88,108.0,0.33345683586513525,False,True
INV-200178,2026-03-07,4829,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200179,2026-07-20,2648,19067,2,1.5,53.98,17.99,26.99,35.98,18.0,0.33345683586513525,False,True
INV-200180,2026-03-17,2633,35918,3,5.25,40.47,8.99,13.49,26.97,13.5,0.3335804299481097,False,True
INV-200181,2026-07-22,2190,43336,3,2.25,37.14,8.25,12.38,24.75,12.39,0.3336025848142165,False,True
INV-200182,2026-05-29,5102,77779,2,0.75,24.2,11.0,12.1,22.0,2.1999999999999993,0.09090909090909088,False,True
INV-200183,2026-05-18,2190,19067,7,5.25,188.93,17.99,26.99,125.92999999999999,63.000000000000014,0.3334568358651353,False,True
INV-200184,2026-07-25,3385,35918,2,3.5,26.98,8.99,13.49,17.98,9.0,0.3335804299481097,False,True
INV-200185,2026-03-30,2633,77779,6,2.25,72.6,11.0,12.1,66.0,6.599999999999994,0.09090909090909084,False,True
INV-200186,2026-03-11,3385,64866,4,3.0,149.96,24.99,37.49,99.96,50.000000000000014,0.3334222459322487,False,True
INV-200187,2026-07-18,4829,11788,2,3.5,29.26,9.75,14.63,19.5,9.760000000000002,0.33356117566643884,False,True
INV-200188,2026-06-16,2190,43336,2,1.5,24.76,8.25,12.38,16.5,8.260000000000002,0.3336025848142165,False,True
INV-200189,2026-06-21,4829,35918,5,8.75,67.45,8.99,13.49,44.95,22.5,0.3335804299481097,False,True
INV-200190,2026-07-24,2633,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200191,2026-05-30,3385,35918,9,15.75,121.41,8.99,13.49,80.91,40.5,0.3335804299481097,False,True
INV-200192,2026-07-05,2633,26827,10,7.5,187.5,12.5,18.75,125.0,62.5,0.3333333333333333,False,True
INV-200193,2026-06-24,5102,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200194,2026-07-26,2501,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200195,2026-04-14,2190,11788,3,5.25,43.89,9.75,14.63,29.25,14.64,0.33356117566643884,False,True
INV-200196,2026-05-31,5102,11788,6,10.5,87.78,9.75,14.63,58.5,29.28,0.33356117566643884,False,True
INV-200197,2026-03-26,3385,64866,2,1.5,74.98,24.99,37.49,49.98,25.000000000000007,0.3334222459322487,False,True
INV-200198,2026-06-29,3385,43336,3,2.25,37.14,8.25,12.38,24.75,12.39,0.3336025848142165,False,True
INV-200199,2026-07-14,2633,43336,3,2.25,37.14,8.25,12.38,24.75,12.39,0.3336025848142165,False,True
INV-200200,2026-07-23,5102,19067,7,5.25,188.93,17.99,26.99,125.92999999999999,63.000000000000014,0.3334568358651353,False,True
INV-200201,2026-07-07,2648,77779,8,3.0,96.8,11.0,12.1,88.0,8.799999999999997,0.09090909090909088,False,True
INV-200202,2026-04-05,4829,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200203,2026-05-31,2190,77779,4,1.5,48.4,11.0,12.1,44.0,4.399999999999999,0.09090909090909088,False,True
INV-200204,2026-05-21,2501,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200205,2026-02-22,4829,43336,3,2.25,37.14,8.25,12.38,24.75,12.39,0.3336025848142165,False,True
INV-200206,2026-05-03,3385,35918,3,5.25,40.47,8.99,13.49,26.97,13.5,0.3335804299481097,False,True
INV-200207,2026-04-10,2648,11788,5,8.75,73.15,9.75,14.63,48.75,24.400000000000006,0.3335611756664389,False,True
INV-200208,2026-02-24,4829,26827,4,3.0,75.0,12.5,18.75,50.0,25.0,0.3333333333333333,False,True
INV-200209,2026-07-25,3385,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200210,2026-07-09,5102,43336,1,0.75,12.38,8.25,12.38,8.25,4.130000000000001,0.3336025848142165,False,True
INV-200211,2026-04-24,5102,43336,1,0.75,12.38,8.25,12.38,8.25,4.130000000000001,0.3336025848142165,False,True
INV-200212,2026-03-28,2633,35918,3,5.25,40.47,8.99,13.49,26.97,13.5,0.3335804299481097,False,True
INV-200213,2026-05-31,5102,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200214,2026-07-23,2648,36308,3,3.0,20.25,4.5,6.75,13.5,6.75,0.3333333333333333,False,True
INV-200215,2026-02-04,2190,64866,15,11.25,562.35,24.99,37.49,374.84999999999997,187.50000000000006,0.3334222459322487,False,True
INV-200216,2026-05-02,2633,19067,2,1.5,53.98,17.99,26.99,35.98,18.0,0.33345683586513525,False,True
INV-200217,2026-07-26,5102,77779,4,1.5,48.4,11.0,12.1,44.0,4.399999999999999,0.09090909090909088,False,True
INV-200218,2026-05-10,2633,43336,3,2.25,37.14,8.25,12.38,24.75,12.39,0.3336025848142165,False,True
INV-200219,2026-02-18,3385,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200220,2026-02-02,3385,36308,11,11.0,74.25,4.5,6.75,49.5,24.75,0.3333333333333333,False,True
INV-200221,2026-03-26,2501,77779,-16,-6.0,-193.6,11.0,12.1,-176.0,-17.599999999999994,0.09090909090909088,True,True
INV-200222,2026-04-07,2648,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200223,2026-03-18,2633,43336,-2,-1.5,-24.76,8.25,12.38,-16.5,-8.260000000000002,0.3336025848142165,True,True
INV-200224,2026-05-16,2648,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200225,2026-07-11,2633,36308,6,6.0,40.5,4.5,6.75,27.0,13.5,0.3333333333333333,False,True
INV-200226,2026-02-06,2190,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200227,2026-05-24,2648,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200228,2026-02-12,5102,35918,2,3.5,26.98,8.99,13.49,17.98,9.0,0.3335804299481097,False,True
INV-200229,2026-07-03,2501,35918,3,5.25,40.47,8.99,13.49,26.97,13.5,0.3335804299481097,False,True
INV-200230,2026-05-14,5102,64866,1,0.75,37.49,24.99,37.49,24.99,12.500000000000004,0.3334222459322487,False,True
INV-200231,2026-06-29,2190,64866,6,4.5,224.94,24.99,37.49,149.94,75.0,0.3334222459322486,False,True
