invoice_no,customer,invoice_date,due_date,terms,amount,open_balance,aged_balance,status,days_past_due,aging_bucket,due_date_estimated,last_payment
10576,Granite Clinic,2026-06-19,2026-08-03,Net 45,17550.35,17550.35,17550.35,Open,-5,Current,False,
10577,Granite Consulting,2026-05-20,2026-06-04,Net 15,1702.47,0.0,,Paid,55,31-60,False,2026-06-05
10578,Granite Consulting,2026-06-01,2026-06-16,Net 15,1094.05,1094.05,1094.05,Open,43,31-60,False,
10579,Granite Dental,2026-07-03,2026-08-02,Net 30,1500.94,1500.94,1500.94,Open,-4,Current,False,
10580,Granite Dental,2026-06-09,2026-07-09,Net 30,642.41,642.41,642.41,Open,20,1-30,False,
10581,Granite Dental,2026-06-10,2026-06-10,Due on receipt,476.68,367.29,367.29,Partial,49,31-60,False,2026-06-15
10582,Granite Dental,2026-06-13,2026-06-13,Due on receipt,652.85,652.85,652.85,Open,46,31-60,False,
10583,Granite Dental,2026-06-12,2026-07-12,Net 30,5573.29,5573.29,5573.29,Open,17,1-30,False,
10584,Harborview Builders,2026-06-06,2026-08-05,Net 60,1119.69,1119.69,1119.69,Open,-7,Current,False,
10585,Harborview Builders,2026-05-30,2026-05-30,Due on receipt,1798.28,1798.28,1798.28,Open,60,31-60,False,
10586,Harborview Contracting,2026-06-23,2026-07-23,Net 30,724.23,724.23,724.23,Open,6,1-30,False,
10587,Harborview Contracting,2026-06-19,2026-07-19,Net 30,2268.45,0.0,,Paid,10,1-30,False,2026-06-22
10588,Harborview Contracting,2026-07-21,2026-08-05,Net 15,556.1,0.0,,Paid,-7,Current,False,2026-07-22
10589,Harborview Contracting,2026-07-21,2026-09-04,Net 45,561.0,0.0,,Paid,-37,Current,False,2026-07-22
10590,Ironside Contracting,2026-06-21,2026-07-06,Net 15,2226.99,2226.99,2226.99,Open,23,1-30,False,
10591,Ironside Contracting,2026-06-10,2026-06-25,Net 15,1381.26,0.0,,Paid,34,31-60,False,2026-06-17
10592,Ironside Contracting,2026-05-17,2026-07-01,Net 45,1680.09,1680.09,1680.09,Open,28,1-30,False,
10593,Ironside Dental,2026-04-12,2026-04-27,Net 15,607.32,0.0,,Paid,93,90+,False,2026-05-11
10594,Ironside Dental,2026-04-30,2026-05-30,Net 30,3578.61,3578.61,3578.61,Open,60,31-60,False,
10595,Ironside Dental,2026-04-18,2026-05-18,Net 30,397.8,397.8,397.8,Open,72,61-90,False,
10596,Ironside Dental,2026-03-23,2026-04-22,Net 30,3606.86,3606.86,3606.86,Open,98,90+,False,
10597,Ironside Dental,2026-05-10,2026-07-09,Net 60,1142.65,1142.65,1142.65,Open,20,1-30,False,
10598,Ironside Property Mgmt,2026-07-28,2026-09-26,Net 60,3000.13,3000.13,3000.13,Open,-59,Current,False,
10599,Ironside Property Mgmt,2026-07-05,2026-07-05,Due on receipt,1057.35,0.0,,Paid,24,1-30,False,2026-07-11
10600,Lakeshore Property Mgmt,2026-06-14,2026-06-29,Net 15,4139.91,4139.91,4139.91,Open,30,1-30,False,
10601,Lakeshore Property Mgmt,2026-05-23,2026-06-22,Net 30,391.78,391.78,391.78,Open,37,31-60,False,
10602,Lakeshore Property Mgmt,2026-07-11,2026-08-10,Net 30,1298.57,1298.57,1298.57,Open,-12,Current,False,
10603,Meadowlark Builders,2026-06-01,2026-07-01,Net 30,2823.41,0.0,,Paid,28,1-30,False,2026-06-07
10604,Meadowlark Builders,2026-05-21,2026-06-05,Net 15,437.06,0.0,,Paid,54,31-60,False,2026-05-23
10605,Meadowlark Consulting,2026-05-13,2026-06-27,Net 45,3159.2,0.0,,Paid,32,31-60,False,2026-06-20
10606,Meadowlark Consulting,2026-06-01,2026-07-01,Net 30,2320.0,929.0,929.0,Partial,28,1-30,False,2026-06-22
10607,Meadowlark Family Practice,2026-05-05,2026-06-19,Net 45,818.46,642.56,642.56,Partial,40,31-60,False,2026-05-29
10608,Meadowlark Family Practice,2026-04-25,2026-04-25,Due on receipt,1115.56,0.0,,Paid,95,90+,False,2026-05-02
10609,Meadowlark Family Practice,2026-05-14,2026-07-13,Net 60,-4178.65,-0.0,,Credit Memo,16,1-30,False,2026-05-31
10610,Northwind Builders,2026-02-16,2026-04-17,Net 60,1037.88,0.0,,Paid,103,90+,False,2026-03-16
10611,Northwind Builders,2026-04-20,2026-06-19,Net 60,902.27,902.27,902.27,Open,40,31-60,False,
10612,Northwind Clinic,2026-02-16,2026-03-18,Net 30,1756.21,1756.21,1756.21,Open,133,90+,False,
10613,Northwind Family Practice,2026-05-29,2026-07-28,Net 60,1246.78,1246.78,1246.78,Open,1,1-30,False,
10614,Northwind Family Practice,2026-05-25,2026-07-24,Net 60,2106.04,2106.04,2106.04,Open,5,1-30,False,
10615,Redstone Family Practice,2026-06-21,2026-07-06,Net 15,1715.7,1715.7,1715.7,Open,23,1-30,False,
10616,Redstone Family Practice,2026-05-29,2026-05-29,Due on receipt,1485.27,1156.01,1156.01,Partial,61,61-90,False,2026-06-10
10617,Redstone Family Practice,2026-06-22,2026-07-22,Net 30,4010.45,4010.45,4010.45,Open,7,1-30,False,
10618,Stonebridge Builders,2026-07-02,2026-08-01,Net 30,2844.16,2153.7,2153.7,Partial,-3,Current,False,2026-07-30
10619,Stonebridge Builders,2026-07-07,2026-08-21,Net 45,2276.09,553.54,553.54,Partial,-23,Current,False,2026-07-17
10620,Stonebridge Builders,2026-07-20,2026-07-20,Due on receipt,3229.19,3229.19,3229.19,Open,9,1-30,False,
10621,Stonebridge Builders,2026-07-24,2026-09-07,Net 45,6743.17,0.0,,Paid,-40,Current,False,2026-08-01
10622,Stonebridge Family Practice,2026-06-06,2026-07-06,Net 30,-1627.11,-1627.11,-1627.11,Credit Memo,23,1-30,False,
10623,Stonebridge Family Practice,2026-05-31,2026-07-30,Net 60,1507.43,1507.43,1507.43,Open,-1,Current,False,
10624,Stonebridge Family Practice,2026-06-04,2026-06-19,Net 15,1682.94,1682.94,1682.94,Open,40,31-60,False,
10625,Stonebridge Family Practice,2026-05-21,2026-06-20,Net 30,1906.01,878.89,878.89,Partial,39,31-60,False,2026-06-04
10626,Stonebridge Hvac,2026-05-31,2026-07-15,Net 45,2327.6,2327.6,2327.6,Open,14,1-30,False,
10627,Stonebridge Hvac,2026-06-02,2026-07-17,Net 45,1746.85,355.88,355.88,Partial,12,1-30,False,2026-06-09
10628,Stonebridge Hvac,2026-06-21,2026-07-21,Net 30,2668.52,0.0,,Paid,8,1-30,False,2026-07-03
10629,Willow Park Consulting,2026-03-09,2026-04-23,Net 45,1022.63,468.78,468.78,Partial,97,90+,False,2026-03-30
10630,Willow Park Consulting,2026-04-08,2026-05-23,Net 45,2119.59,2119.59,2119.59,Open,67,61-90,False,
10631,Willow Park Consulting,2026-05-06,2026-07-05,Net 60,2434.01,2434.01,2434.01,Open,24,1-30,False,
10632,Willow Park Contracting,2026-06-28,2026-08-12,Net 45,13567.42,13567.42,13567.42,Open,-14,Current,False,
10633,Willow Park Contracting,2026-07-10,2026-08-09,Net 30,2386.46,2386.46,2386.46,Open,-11,Current,False,
10634,Willow Park Contracting,2026-07-19,2026-08-18,Net 30,3612.06,3612.06,3612.06,Open,-20,Current,False,
10635,Willow Park Contracting,2026-06-21,2026-08-05,Net 45,4910.47,4910.47,4910.47,Open,-7,Current,False,
10636,Willow Park Contracting,2026-07-01,2026-07-01,Due on receipt,2395.65,705.2,705.2,Partial,28,1-30,False,2026-07-31
10637,Willow Park Contracting,2026-06-25,2026-07-25,Net 30,1819.83,1819.83,1819.83,Open,4,1-30,False,
