Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Start Date,End Date
430068,Grand Grove County Hospital ,7297 Prairie St,Grand Grove,MO,55307,Fair,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,,,5,01/01/2025,12/31/2025
160102,River Bluff Health System,2686 Fair St,River Bluff,IL,58099,River,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,26,2532,,01/01/2025,12/31/2025
140019,GRAND JUNCTION MEMORIAL HOSPITAL,7479 Prairie St,Grand Junction,NE,57330,North,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,299,3760,,01/01/2025,12/31/2025
240085,Grand Haven Community Hospital,9118 Prairie St,Grand Haven,MN,50552,Prairie,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,83,478,,01/01/2025,12/31/2025
520090,River Bluff Health System ,8647 Cedar St,River Bluff,MO,58996,Grand,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,20,169,,01/01/2025,12/31/2025
260045,North Falls County Hospital,5007 Prairie St,North Falls,MN,56227,River,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,114,3399,,01/01/2025,12/31/2025
160040,Grand Rapids Health System,4038 Elk St,Grand Rapids,NE,53366,Grand,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,84,2450,,01/01/2025,12/31/2025
520099,Grand Ridge Community Hospital,5342 Elk St,Grand Ridge,KS,53606,Prairie,Emergency Department,OP_22,Left without being seen,2.1,4179,,01/01/2025,12/31/2025
260032,Fair Junction County Hospital,2015 Pine St,Fair Junction,MN,51273,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,153,162,,01/01/2025,12/31/2025
430010,Grand Haven Medical Center,8732 Pine St,Grand Haven,MN,57376,Elk,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,253,1718,,01/01/2025,12/31/2025
170018,Grand Grove County Hospital,7380 Elk St,Grand Grove,IL,50934,Prairie,Emergency Department,OP_22,Left without being seen,1.1,2842,,01/01/2025,12/31/2025
240006,River Grove Medical Center ,1868 Cedar St,River Grove,WI,50545,Grand,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,537,2982,,01/01/2025,12/31/2025
160064,Pine Haven Medical Center,9818 Prairie St,Pine Haven,IL,51176,Fair,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,145,3797,,01/01/2025,12/31/2025
160078,Pine Rapids Health System,1786 Fair St,Pine Rapids,IA,58775,Grand,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,50,1832,,01/01/2025,12/31/2025
430039,Prairie View Memorial Hospital,9980 Fair St,Prairie View,SD,55107,River,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,240,920,,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,1002 River St,Prairie Ridge,WI,58673,Pine,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,306,4039,,01/01/2025,12/31/2025
170011,River Junction Regional Medical Center,7951 Cedar St,River Junction,IA,52532,Prairie,Emergency Department,OP_22,Left without being seen,3.9,913,,01/01/2025,12/31/2025
240020,Pine Rapids County Hospital,5133 Grand St,Pine Rapids,IA,57446,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,201,427,,01/01/2025,12/31/2025
260084,Cedar Haven Community Hospital,4305 Fair St,Cedar Haven,KS,51447,Elk,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,180,1021,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital ,2795 Prairie St,Grand Bluff,IA,51450,Cedar,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,,,5,01/01/2025,12/31/2025
170056,Pine Falls Community Hospital,2637 Elk St,Pine Falls,IL,53504,Grand,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,42,4121,,01/01/2025,12/31/2025
260033,River Rapids Health System,7777 Prairie St,River Rapids,KS,54429,North,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,Not Available,,5,01/01/2025,12/31/2025
,KS STATE AVERAGE,,,KS,,,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,118,,,01/01/2025,12/31/2025
140007,Prairie View Memorial Hospital,8198 North St,Prairie View,IA,58425,North,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,236,2450,,01/01/2025,12/31/2025
240012,Grand Falls Community Hospital,5396 Elk St,Grand Falls,IA,50804,Fair,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,390,3717,,01/01/2025,12/31/2025
170051,Elk View County Hospital,4698 Grand St,Elk View,MO,53057,River,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,141,3604,,01/01/2025,12/31/2025
430070,River Ridge Memorial Hospital ,8463 Elk St,River Ridge,MO,56721,Prairie,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,247,167,,01/01/2025,12/31/2025
430110,River Ridge Memorial Hospital,1717 North St,River Ridge,NE,50465,North,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,197,1589,,01/01/2025,12/31/2025
,SD STATE AVERAGE,,,SD,,,Emergency Department,OP_22,Left without being seen,2.4,,,01/01/2025,12/31/2025
240059,Cedar Haven Health System,4166 North St,Cedar Haven,IL,54724,River,Emergency Department,OP_22,Left without being seen,4.0,2337,,01/01/2025,12/31/2025
170003,Elk Falls Community Hospital,1996 Elk St,Elk Falls,IA,57699,Pine,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,83,3429,,01/01/2025,12/31/2025
140111,Elk Rapids Medical Center,1309 Fair St,Elk Rapids,IA,51694,Elk,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,103,3499,,01/01/2025,12/31/2025
170063,ELK HAVEN MEDICAL CENTER,2262 Cedar St,Elk Haven,MO,51294,River,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,257,126,,01/01/2025,12/31/2025
240082,Grand Rapids Memorial Hospital,3115 Elk St,Grand Rapids,IL,57170,Grand,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,37,1066,,01/01/2025,12/31/2025
260004,Elk Haven Medical Center,8856 Pine St,Elk Haven,NE,55843,Prairie,Emergency Department,OP_22,Left without being seen,4.4,2542,,01/01/2025,12/31/2025
280072,Grand Ridge Regional Medical Center,3539 Grand St,Grand Ridge,MN,57567,River,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,207,3273,,01/01/2025,12/31/2025
160097,FAIR GROVE REGIONAL MEDICAL CENTER,1658 Elk St,Fair Grove,KS,54999,Elk,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,147,1528,,01/01/2025,12/31/2025
160040,Grand Rapids Health System,3978 Grand St,Grand Rapids,NE,52449,North,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,67,4147,,01/01/2025,12/31/2025
160118,North Falls Health System,8149 Grand St,North Falls,MO,58029,Grand,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,Not Available,,25,01/01/2025,12/31/2025
240029,Cedar View County Hospital,4206 Prairie St,Cedar View,MN,50481,Cedar,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,115,2259,,01/01/2025,12/31/2025
260087,Elk Grove Memorial Hospital,1335 Prairie St,Elk Grove,IA,55951,Pine,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,32,873,,01/01/2025,12/31/2025
170051,Elk View County Hospital,3612 Fair St,Elk View,MO,54294,Fair,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,131,2893,,01/01/2025,12/31/2025
260032,Fair Junction County Hospital,6596 Pine St,Fair Junction,MN,57973,North,Emergency Department,OP_22,Left without being seen,,,1,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,8529 Elk St,Prairie Ridge,WI,58290,Elk,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,242,1103,,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,3371 North St,Prairie Ridge,WI,50901,Cedar,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,51,1406,,01/01/2025,12/31/2025
140111,Elk Rapids Medical Center,1680 Fair St,Elk Rapids,IA,53578,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,239,902,,01/01/2025,12/31/2025
170096,Cedar Junction Regional Medical Center,9857 Pine St,Cedar Junction,IL,52991,Pine,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,528,2882,,01/01/2025,12/31/2025
520016,Pine Grove Medical Center,8871 Elk St,Pine Grove,KS,55792,Prairie,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,115,2189,,01/01/2025,12/31/2025
170052,NORTH RAPIDS COMMUNITY HOSPITAL,4914 River St,North Rapids,MO,52426,River,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,192,2202,,01/01/2025,12/31/2025
430116,Elk Grove Medical Center,5782 River St,Elk Grove,MN,50281,Prairie,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,527,187,,01/01/2025,12/31/2025
430009,Grand Bluff Community Hospital,8184 Cedar St,Grand Bluff,IL,52868,River,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,113,2496,,01/01/2025,12/31/2025
280017,Cedar Bluff Regional Medical Center,8737 River St,Cedar Bluff,IA,50130,Fair,Emergency Department,OP_22,Left without being seen,2.7,1895,,01/01/2025,12/31/2025
,IA STATE AVERAGE,,,IA,,,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,68.0,,,01/01/2025,12/31/2025
240026,Elk View Medical Center,7020 Cedar St,Elk View,SD,50037,Pine,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,20,378,,01/01/2025,12/31/2025
240026,Elk View Medical Center,2874 Grand St,Elk View,SD,55381,Pine,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,68,415,,01/01/2025,12/31/2025
260069,Prairie Bluff Memorial Hospital,1520 Prairie St,Prairie Bluff,IA,57644,Grand,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,330,3083,,01/01/2025,12/31/2025
140053,River Grove Regional Medical Center,6908 Pine St,River Grove,WI,53007,Grand,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,179,2074,,01/01/2025,12/31/2025
170013,NORTH RAPIDS REGIONAL MEDICAL CENTER,6789 River St,North Rapids,IL,53478,Elk,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,354,4043,,01/01/2025,12/31/2025
160078,Pine Rapids Health System,6361 Pine St,Pine Rapids,IA,57574,River,Emergency Department,OP_22,Left without being seen,4.1,3742,,01/01/2025,12/31/2025
,KS STATE AVERAGE,,,KS,,,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,68.0,,,01/01/2025,12/31/2025
170063,Elk Haven Medical Center,6654 Elk St,Elk Haven,MO,52063,River,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,239,1818,,01/01/2025,12/31/2025
430039,Prairie View Memorial Hospital,7957 Fair St,Prairie View,SD,52740,Elk,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,65,4088,,01/01/2025,12/31/2025
140007,Prairie View Memorial Hospital,8844 River St,Prairie View,IA,55361,Fair,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,691,2677,,01/01/2025,12/31/2025
140089,North Haven County Hospital,3813 Grand St,North Haven,KS,50579,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,47,694,,01/01/2025,12/31/2025
170047,Cedar Junction Regional Medical Center,914 Cedar St,Cedar Junction,SD,55520,Grand,Emergency Department,OP_22,Left without being seen,,,5,01/01/2025,12/31/2025
520099,Grand Ridge Community Hospital,4783 Grand St,Grand Ridge,KS,58218,North,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,313,1474,,01/01/2025,12/31/2025
430070,River Ridge Memorial Hospital,2027 North St,River Ridge,MO,58787,Elk,Emergency Department,OP_22,Left without being seen,2.0,297,,01/01/2025,12/31/2025
140081,Elk Ridge County Hospital,3772 Grand St,Elk Ridge,KS,56104,Fair,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,68,699,,01/01/2025,12/31/2025
430070,River Ridge Memorial Hospital,2722 North St,River Ridge,MO,52628,Pine,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,Not Available,,25,01/01/2025,12/31/2025
170027,Prairie Bluff Community Hospital,5660 Prairie St,Prairie Bluff,WI,57456,North,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,47,3768,,01/01/2025,12/31/2025
170115,North View Regional Medical Center,4959 Fair St,North View,KS,58828,Pine,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,,,1,01/01/2025,12/31/2025
430041,Fair Haven County Hospital,8556 Grand St,Fair Haven,IA,53133,Prairie,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,71,2632,,01/01/2025,12/31/2025
240085,Grand Haven Community Hospital,8486 Cedar St,Grand Haven,MN,51528,River,Emergency Department,OP_22,Left without being seen,2.2,1547,,01/01/2025,12/31/2025
260061,Elk Ridge Community Hospital,109 Prairie St,Elk Ridge,IL,54975,North,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,,,5,01/01/2025,12/31/2025
430068,Grand Grove County Hospital,2007 Grand St,Grand Grove,MO,53807,Prairie,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,249,410,,01/01/2025,12/31/2025
160074,Pine Haven Medical Center,1477 Elk St,Pine Haven,SD,54300,Fair,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,36,1671,,01/01/2025,12/31/2025
430066,Grand Ridge Medical Center,7587 Grand St,Grand Ridge,NE,54706,Pine,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,288,3670,,01/01/2025,12/31/2025
260119,Fair Ridge Health System,3521 North St,Fair Ridge,SD,53446,Cedar,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,Not Available,,25,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,2670 Prairie St,Prairie Ridge,WI,51087,River,Emergency Department,OP_22,Left without being seen,0.9,4036,,01/01/2025,12/31/2025
240022,Fair Bluff Regional Medical Center,4136 Fair St,Fair Bluff,MO,53054,Elk,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,420,2875,,01/01/2025,12/31/2025
140005,North Grove County Hospital,1989 Prairie St,North Grove,SD,50071,Pine,Emergency Department,OP_22,Left without being seen,3.6,1366,,01/01/2025,12/31/2025
260104,North Haven Memorial Hospital,518 Elk St,North Haven,IL,57379,Grand,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,134,4084,,01/01/2025,12/31/2025
140028,River Ridge Medical Center,6707 Cedar St,River Ridge,WI,56287,North,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,190,2100,,01/01/2025,12/31/2025
140113,Fair Bluff Health System,1143 Prairie St,Fair Bluff,SD,57186,Elk,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,,,25,01/01/2025,12/31/2025
520038,Fair Grove Community Hospital,3299 North St,Fair Grove,IL,56732,North,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,227,193,,01/01/2025,12/31/2025
160037,Pine Ridge Health System,9890 Elk St,Pine Ridge,IA,54133,Fair,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,393,3824,,01/01/2025,12/31/2025
,NE STATE AVERAGE,,,NE,,,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,165,,,01/01/2025,12/31/2025
520016,Pine Grove Medical Center,2417 River St,Pine Grove,KS,54975,Prairie,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,60,1148,,01/01/2025,12/31/2025
,MO STATE AVERAGE,,,MO,,,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,310,,,01/01/2025,12/31/2025
140081,Elk Ridge County Hospital,3918 Elk St,Elk Ridge,KS,56430,Pine,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,128,1995,,01/01/2025,12/31/2025
280058,Pine Grove Medical Center,8250 River St,Pine Grove,NE,51058,North,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,76,3752,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,4128 North St,Grand Bluff,IA,53401,River,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,133,4007,,01/01/2025,12/31/2025
170011,River Junction Regional Medical Center,160 Cedar St,River Junction,IA,56355,Grand,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,280,1874,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,4192 Cedar St,Grand Bluff,IA,54952,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,Not Available,,1,01/01/2025,12/31/2025
140089,North Haven County Hospital,6937 Elk St,North Haven,KS,54325,Cedar,Emergency Department,OP_22,Left without being seen,3.9,1003,,01/01/2025,12/31/2025
280080,Fair Rapids Memorial Hospital,7949 Elk St,Fair Rapids,MO,56339,River,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,114,454,,01/01/2025,12/31/2025
240012,Grand Falls Community Hospital,6592 Pine St,Grand Falls,IA,53857,Cedar,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,282,3067,,01/01/2025,12/31/2025
,MN STATE AVERAGE,,,MN,,,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,310,,,01/01/2025,12/31/2025
160067,North Ridge County Hospital,7519 Prairie St,North Ridge,IA,56561,Prairie,Emergency Department,OP_22,Left without being seen,0.2,623,,01/01/2025,12/31/2025
280058,Pine Grove Medical Center ,1307 Elk St,Pine Grove,NE,55597,River,Emergency Department,OP_22,Left without being seen,1.9,943,,01/01/2025,12/31/2025
260045,North Falls County Hospital,8680 Prairie St,North Falls,MN,51363,Prairie,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,39,920,,01/01/2025,12/31/2025
160067,North Ridge County Hospital,7283 River St,North Ridge,IA,50877,Fair,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,150,3731,,01/01/2025,12/31/2025
280008,Elk View Health System ,540 Fair St,Elk View,NE,57313,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,273,1081,,01/01/2025,12/31/2025
430088,GRAND RAPIDS MEDICAL CENTER,5488 Cedar St,Grand Rapids,SD,54560,Pine,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,247,566,,01/01/2025,12/31/2025
280024,Elk Grove Memorial Hospital,2539 Cedar St,Elk Grove,IA,54762,Fair,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,54,2820,,01/01/2025,12/31/2025
,NE STATE AVERAGE,,,NE,,,Emergency Department,OP_22,Left without being seen,2.4,,,01/01/2025,12/31/2025
240065,Prairie Haven Health System,2487 Grand St,Prairie Haven,NE,56039,Pine,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,119,2672,,01/01/2025,12/31/2025
170056,Pine Falls Community Hospital,1584 Prairie St,Pine Falls,IL,51552,North,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,197,913,,01/01/2025,12/31/2025
260119,Fair Ridge Health System,5130 Prairie St,Fair Ridge,SD,52347,Elk,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,236,2745,,01/01/2025,12/31/2025
170011,River Junction Regional Medical Center,2123 Pine St,River Junction,IA,55658,Fair,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,60,4168,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,3527 Elk St,Grand Bluff,IA,54388,Prairie,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,202,1051,,01/01/2025,12/31/2025
170036,River Junction Community Hospital,5300 Prairie St,River Junction,KS,58854,Fair,Emergency Department,OP_22,Left without being seen,0.0,3218,,01/01/2025,12/31/2025
280017,Cedar Bluff Regional Medical Center,2563 Fair St,Cedar Bluff,IA,56597,Fair,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,315,3473,,01/01/2025,12/31/2025
430014,Fair Rapids Regional Medical Center,1692 Pine St,Fair Rapids,IL,51189,Grand,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,475,351,,01/01/2025,12/31/2025
140019,Grand Junction Memorial Hospital,7585 Prairie St,Grand Junction,NE,57960,Pine,Emergency Department,OP_22,Left without being seen,1.2,1331,,01/01/2025,12/31/2025
140019,GRAND JUNCTION MEMORIAL HOSPITAL,7953 Cedar St,Grand Junction,NE,55762,North,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,124,3104,,01/01/2025,12/31/2025
170101,Prairie Grove County Hospital,4484 Grand St,Prairie Grove,IA,54840,Pine,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,66,2283,,01/01/2025,12/31/2025
260084,Cedar Haven Community Hospital,2068 Cedar St,Cedar Haven,KS,50565,Fair,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,38,2535,,01/01/2025,12/31/2025
140053,River Grove Regional Medical Center,9151 Elk St,River Grove,WI,55421,Cedar,Emergency Department,OP_22,Left without being seen,2.6,2512,,01/01/2025,12/31/2025
140112,PINE JUNCTION COMMUNITY HOSPITAL,4780 Pine St,Pine Junction,MO,51437,North,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,54,664,,01/01/2025,12/31/2025
430093,River Bluff Health System,447 River St,River Bluff,IL,51147,Prairie,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,86,1110,,01/01/2025,12/31/2025
240029,Cedar View County Hospital,1708 Pine St,Cedar View,MN,54618,Pine,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,89,308,,01/01/2025,12/31/2025
430068,Grand Grove County Hospital,8883 North St,Grand Grove,MO,56358,Cedar,Emergency Department,OP_22,Left without being seen,4.2,1940,,01/01/2025,12/31/2025
430041,Fair Haven County Hospital,4025 Grand St,Fair Haven,IA,53396,Prairie,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,Not Available,,5,01/01/2025,12/31/2025
160078,Pine Rapids Health System,9601 Prairie St,Pine Rapids,IA,54753,Prairie,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,Not Available,,5,01/01/2025,12/31/2025
140007,Prairie View Memorial Hospital,6121 River St,Prairie View,IA,57605,Elk,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,53,477,,01/01/2025,12/31/2025
