facility_id,facility_name,city,state,county,zip_code,condition,measure_id,measure_name,unit,score,sample_size,footnote_code,suppression_reason,period_start,period_end
170018,Grand Grove County Hospital,Grand Grove,IL,Prairie,50934,Emergency Department,OP_22,Left without being seen,percent,1.1,2842,,,01/01/2025,12/31/2025
240006,River Grove Medical Center,River Grove,WI,Grand,50411,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,537.0,2982,,,01/01/2025,12/31/2025
160064,Pine Haven Medical Center,Pine Haven,IL,Elk,51176,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,145.0,3797,,,01/01/2025,12/31/2025
160078,Pine Rapids Health System,Pine Rapids,IA,Grand,52878,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,50.0,1832,,,01/01/2025,12/31/2025
430039,Prairie View Memorial Hospital,Prairie View,SD,River,51834,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,240.0,920,,,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,Prairie Ridge,WI,Elk,50901,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,306.0,4039,,,01/01/2025,12/31/2025
170011,River Junction Regional Medical Center,River Junction,IA,Fair,51311,Emergency Department,OP_22,Left without being seen,percent,3.9,913,,,01/01/2025,12/31/2025
240020,Pine Rapids County Hospital,Pine Rapids,IA,Elk,51142,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,201.0,427,,,01/01/2025,12/31/2025
260084,Cedar Haven Community Hospital,Cedar Haven,KS,Elk,50561,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,180.0,1021,,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,Grand Bluff,IA,Cedar,51450,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
170056,Pine Falls Community Hospital,Pine Falls,IL,Cedar,50608,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,42.0,4121,,,01/01/2025,12/31/2025
260033,River Rapids Health System,River Rapids,KS,Elk,50760,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
140007,Prairie View Memorial Hospital,Prairie View,IA,Cedar,50430,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,236.0,2450,,,01/01/2025,12/31/2025
240012,Grand Falls Community Hospital,Grand Falls,IA,Cedar,50804,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,390.0,3717,,,01/01/2025,12/31/2025
170051,Elk View County Hospital,Elk View,MO,Fair,53057,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,141.0,3604,,,01/01/2025,12/31/2025
430070,River Ridge Memorial Hospital,River Ridge,MO,River,52628,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,247.0,167,,,01/01/2025,12/31/2025
430110,River Ridge Memorial Hospital,River Ridge,NE,Fair,50465,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,197.0,1589,,,01/01/2025,12/31/2025
240059,Cedar Haven Health System,Cedar Haven,IL,Grand,50764,Emergency Department,OP_22,Left without being seen,percent,4.0,2337,,,01/01/2025,12/31/2025
170003,Elk Falls Community Hospital,Elk Falls,IA,Elk,50336,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,83.0,3429,,,01/01/2025,12/31/2025
140111,Elk Rapids Medical Center,Elk Rapids,IA,Fair,51694,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,103.0,3499,,,01/01/2025,12/31/2025
170063,Elk Haven Medical Center,Elk Haven,MO,River,51294,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,257.0,126,,,01/01/2025,12/31/2025
240082,Grand Rapids Memorial Hospital,Grand Rapids,IL,Cedar,52110,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,37.0,1066,,,01/01/2025,12/31/2025
260004,Elk Haven Medical Center,Elk Haven,NE,Cedar,53783,Emergency Department,OP_22,Left without being seen,percent,4.4,2542,,,01/01/2025,12/31/2025
280072,Grand Ridge Regional Medical Center,Grand Ridge,MN,River,51781,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,207.0,3273,,,01/01/2025,12/31/2025
160097,Fair Grove Regional Medical Center,Fair Grove,KS,Elk,53527,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,147.0,1528,,,01/01/2025,12/31/2025
160040,Grand Rapids Health System,Grand Rapids,NE,Cedar,52449,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,67.0,4147,,,01/01/2025,12/31/2025
160118,North Falls Health System,North Falls,MO,Cedar,51662,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,,,25,Facility did not submit data,01/01/2025,12/31/2025
240029,Cedar View County Hospital,Cedar View,MN,Prairie,50481,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,115.0,2259,,,01/01/2025,12/31/2025
260087,Elk Grove Memorial Hospital,Elk Grove,IA,Elk,51181,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,32.0,873,,,01/01/2025,12/31/2025
170051,Elk View County Hospital,Elk View,MO,Fair,53057,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,131.0,2893,,,01/01/2025,12/31/2025
260032,Fair Junction County Hospital,Fair Junction,MN,Cedar,50132,Emergency Department,OP_22,Left without being seen,percent,,,1,Not available — measure not reported,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,Prairie Ridge,WI,Elk,50901,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,242.0,1103,,,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,Prairie Ridge,WI,Elk,50901,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,51.0,1406,,,01/01/2025,12/31/2025
140111,Elk Rapids Medical Center,Elk Rapids,IA,Fair,51694,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,239.0,902,,,01/01/2025,12/31/2025
170096,Cedar Junction Regional Medical Center,Cedar Junction,IL,Grand,52991,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,528.0,2882,,,01/01/2025,12/31/2025
520016,Pine Grove Medical Center,Pine Grove,KS,Prairie,51241,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,115.0,2189,,,01/01/2025,12/31/2025
170052,North Rapids Community Hospital,North Rapids,MO,North,50733,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,192.0,2202,,,01/01/2025,12/31/2025
430116,Elk Grove Medical Center,Elk Grove,MN,Prairie,50281,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,527.0,187,,,01/01/2025,12/31/2025
430009,Grand Bluff Community Hospital,Grand Bluff,IL,Cedar,50922,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,113.0,2496,,,01/01/2025,12/31/2025
280017,Cedar Bluff Regional Medical Center,Cedar Bluff,IA,Fair,50130,Emergency Department,OP_22,Left without being seen,percent,2.7,1895,,,01/01/2025,12/31/2025
240026,Elk View Medical Center,Elk View,SD,Pine,50037,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,20.0,378,,,01/01/2025,12/31/2025
240026,Elk View Medical Center,Elk View,SD,Pine,50037,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,68.0,415,,,01/01/2025,12/31/2025
260069,Prairie Bluff Memorial Hospital,Prairie Bluff,IA,Fair,50472,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,330.0,3083,,,01/01/2025,12/31/2025
140053,River Grove Regional Medical Center,River Grove,WI,Cedar,51899,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,179.0,2074,,,01/01/2025,12/31/2025
170013,North Rapids Regional Medical Center,North Rapids,IL,Elk,53478,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,354.0,4043,,,01/01/2025,12/31/2025
160078,Pine Rapids Health System,Pine Rapids,IA,Grand,52878,Emergency Department,OP_22,Left without being seen,percent,4.1,3742,,,01/01/2025,12/31/2025
170063,Elk Haven Medical Center,Elk Haven,MO,River,51294,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,239.0,1818,,,01/01/2025,12/31/2025
430039,Prairie View Memorial Hospital,Prairie View,SD,River,51834,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,65.0,4088,,,01/01/2025,12/31/2025
140007,Prairie View Memorial Hospital,Prairie View,IA,Cedar,50430,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,691.0,2677,,,01/01/2025,12/31/2025
140089,North Haven County Hospital,North Haven,KS,Cedar,50579,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,47.0,694,,,01/01/2025,12/31/2025
170047,Cedar Junction Regional Medical Center,Cedar Junction,SD,Grand,51052,Emergency Department,OP_22,Left without being seen,percent,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
520099,Grand Ridge Community Hospital,Grand Ridge,KS,River,53606,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,313.0,1474,,,01/01/2025,12/31/2025
430070,River Ridge Memorial Hospital,River Ridge,MO,River,52628,Emergency Department,OP_22,Left without being seen,percent,2.0,297,,,01/01/2025,12/31/2025
140081,Elk Ridge County Hospital,Elk Ridge,KS,Fair,55313,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,68.0,699,,,01/01/2025,12/31/2025
430070,River Ridge Memorial Hospital,River Ridge,MO,River,52628,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,,,25,Facility did not submit data,01/01/2025,12/31/2025
170027,Prairie Bluff Community Hospital,Prairie Bluff,WI,North,51914,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,47.0,3768,,,01/01/2025,12/31/2025
170115,North View Regional Medical Center,North View,KS,Elk,51272,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,,,1,Not available — measure not reported,01/01/2025,12/31/2025
430041,Fair Haven County Hospital,Fair Haven,IA,Prairie,50049,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,71.0,2632,,,01/01/2025,12/31/2025
240085,Grand Haven Community Hospital,Grand Haven,MN,Elk,50552,Emergency Department,OP_22,Left without being seen,percent,2.2,1547,,,01/01/2025,12/31/2025
260061,Elk Ridge Community Hospital,Elk Ridge,IL,Elk,51705,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
430068,Grand Grove County Hospital,Grand Grove,MO,Fair,53807,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,249.0,410,,,01/01/2025,12/31/2025
160074,Pine Haven Medical Center,Pine Haven,SD,River,50297,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,36.0,1671,,,01/01/2025,12/31/2025
430066,Grand Ridge Medical Center,Grand Ridge,NE,River,50393,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,288.0,3670,,,01/01/2025,12/31/2025
260119,Fair Ridge Health System,Fair Ridge,SD,Pine,50932,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,,,25,Facility did not submit data,01/01/2025,12/31/2025
240100,Prairie Ridge Community Hospital,Prairie Ridge,WI,Elk,50901,Emergency Department,OP_22,Left without being seen,percent,0.9,4036,,,01/01/2025,12/31/2025
240022,Fair Bluff Regional Medical Center,Fair Bluff,MO,Elk,53054,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,420.0,2875,,,01/01/2025,12/31/2025
140005,North Grove County Hospital,North Grove,SD,Pine,50071,Emergency Department,OP_22,Left without being seen,percent,3.6,1366,,,01/01/2025,12/31/2025
260104,North Haven Memorial Hospital,North Haven,IL,Grand,51146,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,134.0,4084,,,01/01/2025,12/31/2025
140028,River Ridge Medical Center,River Ridge,WI,North,51706,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,190.0,2100,,,01/01/2025,12/31/2025
140113,Fair Bluff Health System,Fair Bluff,SD,River,51419,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,,,25,Facility did not submit data,01/01/2025,12/31/2025
520038,Fair Grove Community Hospital,Fair Grove,IL,Fair,50856,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,227.0,193,,,01/01/2025,12/31/2025
160037,Pine Ridge Health System,Pine Ridge,IA,Cedar,51833,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,393.0,3824,,,01/01/2025,12/31/2025
520016,Pine Grove Medical Center,Pine Grove,KS,Prairie,51241,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,60.0,1148,,,01/01/2025,12/31/2025
140081,Elk Ridge County Hospital,Elk Ridge,KS,Fair,55313,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,128.0,1995,,,01/01/2025,12/31/2025
280058,Pine Grove Medical Center,Pine Grove,NE,Cedar,51058,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,76.0,3752,,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,Grand Bluff,IA,Cedar,51450,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,133.0,4007,,,01/01/2025,12/31/2025
170011,River Junction Regional Medical Center,River Junction,IA,Fair,51311,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,280.0,1874,,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,Grand Bluff,IA,Cedar,51450,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,,,1,Not available — measure not reported,01/01/2025,12/31/2025
140089,North Haven County Hospital,North Haven,KS,Cedar,50579,Emergency Department,OP_22,Left without being seen,percent,3.9,1003,,,01/01/2025,12/31/2025
280080,Fair Rapids Memorial Hospital,Fair Rapids,MO,River,50578,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,114.0,454,,,01/01/2025,12/31/2025
240012,Grand Falls Community Hospital,Grand Falls,IA,Cedar,50804,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,282.0,3067,,,01/01/2025,12/31/2025
160067,North Ridge County Hospital,North Ridge,IA,Cedar,50877,Emergency Department,OP_22,Left without being seen,percent,0.2,623,,,01/01/2025,12/31/2025
280058,Pine Grove Medical Center,Pine Grove,NE,Cedar,51058,Emergency Department,OP_22,Left without being seen,percent,1.9,943,,,01/01/2025,12/31/2025
260045,North Falls County Hospital,North Falls,MN,Prairie,51363,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,39.0,920,,,01/01/2025,12/31/2025
160067,North Ridge County Hospital,North Ridge,IA,Cedar,50877,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,150.0,3731,,,01/01/2025,12/31/2025
280008,Elk View Health System,Elk View,NE,Cedar,51174,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,273.0,1081,,,01/01/2025,12/31/2025
430088,Grand Rapids Medical Center,Grand Rapids,SD,Pine,53993,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,247.0,566,,,01/01/2025,12/31/2025
280024,Elk Grove Memorial Hospital,Elk Grove,IA,Elk,50399,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,54.0,2820,,,01/01/2025,12/31/2025
240065,Prairie Haven Health System,Prairie Haven,NE,Pine,50192,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,119.0,2672,,,01/01/2025,12/31/2025
170056,Pine Falls Community Hospital,Pine Falls,IL,Cedar,50608,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,197.0,913,,,01/01/2025,12/31/2025
260119,Fair Ridge Health System,Fair Ridge,SD,Pine,50932,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,236.0,2745,,,01/01/2025,12/31/2025
170011,River Junction Regional Medical Center,River Junction,IA,Fair,51311,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,60.0,4168,,,01/01/2025,12/31/2025
160108,Grand Bluff Memorial Hospital,Grand Bluff,IA,Cedar,51450,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,202.0,1051,,,01/01/2025,12/31/2025
170036,River Junction Community Hospital,River Junction,KS,Elk,53498,Emergency Department,OP_22,Left without being seen,percent,0.0,3218,,,01/01/2025,12/31/2025
280017,Cedar Bluff Regional Medical Center,Cedar Bluff,IA,Fair,50130,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,315.0,3473,,,01/01/2025,12/31/2025
430014,Fair Rapids Regional Medical Center,Fair Rapids,IL,Cedar,51189,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,475.0,351,,,01/01/2025,12/31/2025
140019,Grand Junction Memorial Hospital,Grand Junction,NE,North,51328,Emergency Department,OP_22,Left without being seen,percent,1.2,1331,,,01/01/2025,12/31/2025
140019,Grand Junction Memorial Hospital,Grand Junction,NE,North,51328,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,124.0,3104,,,01/01/2025,12/31/2025
170101,Prairie Grove County Hospital,Prairie Grove,IA,North,51868,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,66.0,2283,,,01/01/2025,12/31/2025
260084,Cedar Haven Community Hospital,Cedar Haven,KS,Elk,50561,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,38.0,2535,,,01/01/2025,12/31/2025
140053,River Grove Regional Medical Center,River Grove,WI,Cedar,51899,Emergency Department,OP_22,Left without being seen,percent,2.6,2512,,,01/01/2025,12/31/2025
140112,Pine Junction Community Hospital,Pine Junction,MO,Elk,50577,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,54.0,664,,,01/01/2025,12/31/2025
430093,River Bluff Health System,River Bluff,IL,Prairie,50583,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,86.0,1110,,,01/01/2025,12/31/2025
240029,Cedar View County Hospital,Cedar View,MN,Prairie,50481,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,89.0,308,,,01/01/2025,12/31/2025
430068,Grand Grove County Hospital,Grand Grove,MO,Fair,53807,Emergency Department,OP_22,Left without being seen,percent,4.2,1940,,,01/01/2025,12/31/2025
430041,Fair Haven County Hospital,Fair Haven,IA,Prairie,50049,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
160078,Pine Rapids Health System,Pine Rapids,IA,Grand,52878,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
140007,Prairie View Memorial Hospital,Prairie View,IA,Cedar,50430,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,53.0,477,,,01/01/2025,12/31/2025
170027,Prairie Bluff Community Hospital,Prairie Bluff,WI,North,51914,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,113.0,2271,,,01/01/2025,12/31/2025
430039,Prairie View Memorial Hospital,Prairie View,SD,River,51834,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,184.0,3789,,,01/01/2025,12/31/2025
430014,Fair Rapids Regional Medical Center,Fair Rapids,IL,Cedar,51189,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,132.0,1595,,,01/01/2025,12/31/2025
160037,Pine Ridge Health System,Pine Ridge,IA,Cedar,51833,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,40.0,3481,,,01/01/2025,12/31/2025
520099,Grand Ridge Community Hospital,Grand Ridge,KS,River,53606,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,263.0,1071,,,01/01/2025,12/31/2025
240059,Cedar Haven Health System,Cedar Haven,IL,Grand,50764,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,71.0,2687,,,01/01/2025,12/31/2025
280043,Prairie View Regional Medical Center,Prairie View,IA,Grand,51134,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,239.0,2229,,,01/01/2025,12/31/2025
170013,North Rapids Regional Medical Center,North Rapids,IL,Elk,53478,Emergency Department,OP_22,Left without being seen,percent,0.8,1367,,,01/01/2025,12/31/2025
