invoice_line_no,date,store,name,city,zipcode,county,category,category_name,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters
INV-200018,04/22/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,6,72.60,2.25
INV-200019,2026-07-10,2501,  Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,3,43.89,5.25
INV-200020,03/16/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,1,14.63 ,1.75
INV-200021,2026-05-09,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,N/A,$37.49,1,$37.49,0.75
INV-200022,24-Feb-2026,2633,  Hometown Foods,CEDAR RAPIDS,52402,LINN,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,19,512.81,14.25
INV-200023,04/07/2026,5102,Corner Tap & Bottle,AMES,50010.0,STORY,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,2,$26.98,3.50
INV-200024,03/15/2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,3,43.89,5.25
INV-200025,03/27/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,2,13.50,2.00
INV-200026,04/17/2026,5102,Corner Tap & Bottle,AMES,50010.0,STORY,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,3,80.97,2.25
INV-200027,06/04/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,$4.50,$6.75,1,$6.75,1.00
INV-200028,2026-05-31,2633,HOMETOWN FOODS,CEDAR RAPIDS,52402.0,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,3,112.47,2.25
INV-200029,04/22/2026,2648,WILKIE LIQUORS,IOWA CITY,52240,JOHNSON,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25 ,12.38 ,4,49.52 ,3.00
INV-200030,05/06/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,9,131.67,15.75
INV-200031,2026-03-30,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,16,300.00,12.00
INV-200032,04/01/2026,2190,"  Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,2,37.50,1.50
INV-200033,28-Feb-2026,2633,Hometown Foods,CEDAR RAPIDS,52402.0,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,7,94.43,12.25
INV-200034,2026-03-08,3385,Sam's Club 8162,DAVENPORT,52807.0,SCOTT,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,1,12.10,0.38
INV-200035,05/10/2026,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50310,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,2,26.98,3.50
INV-200036,2026-05-13,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,15,202.35,26.25
INV-200037,2026-06-08,4829,Casey's General Store #2879,ANKENY,50021,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,3,80.97,2.25
INV-200038,2026-05-20,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,5,67.45,8.75
INV-200039,04/09/2026,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200040,02/28/2026,3385,SAM'S CLUB 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,5,73.15 ,8.75
INV-200041,06/12/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,9,337.41,6.75
INV-200042,05/19/2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,9,131.67,15.75
INV-200043,05-Feb-2026,2648,WILKIE LIQUORS,IOWA CITY,52240,JOHNSON,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,5,$61.90,3.75
INV-200044,04/04/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,5,60.50,1.88
INV-200045,2026-02-12,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,$17.99,$26.99,2,$53.98,1.50
INV-200046,2026-04-14,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,4,75.00 ,3.00
INV-200047,07/11/2026,3385,Sam's Club 8162,Davenport,52807.0,SCOTT,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200048,25-Feb-2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,1,14.63,1.75
INV-200049,03/05/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,6,72.60,2.25
INV-200050,2026-05-19,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,5,93.75,3.75
INV-200051,18-Feb-2026,5102,Corner Tap and Bottle,AMES,50010,STORY,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,5,73.15,8.75
INV-200052,2026-05-22,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,11,$148.39,19.25
INV-200053,02/20/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99 ,26.99 ,2,53.98 ,1.50
INV-200054,2026-03-16,5102,Corner Tap & Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200055,2026-02-15,5102,Corner Tap and Bottle,AMES,50010,,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,3,112.47,2.25
INV-200056,2026-04-02,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,$24.99,$37.49,5,$187.45,3.75
INV-200057,07-Jul-2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,8,54.00,8.00
INV-200058,13-Jun-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,7,$102.41,12.25
INV-200059,2026-04-18,2190,"Central City Liquor, Inc.",Des Moines,50310,POLK,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,5,60.50,1.88
INV-200060,03/26/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,4,53.96,7.00
INV-200061,06-Apr-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00 ,12.10 ,2,24.20 ,0.75
INV-200062,2026-06-14,5102,Corner Tap & Bottle,AMES,50010,STORY,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,22,824.78,16.50
INV-200063,05/16/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200064,01/30/2026,5102,CORNER TAP & BOTTLE,AMES,50010,STORY,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,1,18.75 ,0.75
INV-200065,2026-02-03,5102,  Corner Tap & Bottle,AMES,50010,STORY,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,6,$74.28,4.50
INV-200066,19-Apr-2026,2633,Hometown Foods ,CEDAR RAPIDS,52402.0,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,2,26.98,3.50
INV-200067,07/16/2026,5102,Corner Tap and Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200068,06-Jul-2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200069,24-Apr-2026,4829,Casey's General Store #2879,ANKENY,50021.0,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,2,13.50,2.00
INV-200070,2026-03-17,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,2,37.50,1.50
INV-200071,07/14/2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200072,07/18/2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200073,2026-04-04,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,3,56.25 ,2.25
INV-200074,07/09/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,9,131.67 ,15.75
INV-200075,2026-03-05,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00 ,12.10 ,1,12.10 ,0.38
INV-200076,2026-04-13,2190,"  Central City Liquor, Inc.",DES MOINES,50310.0,,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,4,58.52,7.00
INV-200077,2026-04-18,2648,  Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,15,281.25,11.25
INV-200078,2026-06-12,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200079,2026-07-08,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,$24.99,$37.49,13,$487.37,9.75
INV-200080,2026-06-13,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200081,2026-06-30,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25 ,12.38 ,6,74.28 ,4.50
INV-200082,17-Jul-2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,2,24.76,1.50
INV-200083,2026-02-17,3385,  Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200084,2026-03-07,5102,Corner Tap & Bottle,AMES,50010,STORY,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,$24.99,$37.49,1,$37.49,0.75
INV-200085,2026-03-22,4829,CASEY'S GENERAL STORE #2879,ANKENY,50021,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,$17.99,$26.99,6,$161.94,4.50
INV-200086,2026-02-11,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,$17.99,$26.99,4,$107.96,3.00
INV-200087,2026-03-28,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,5,93.75,3.75
INV-200088,2026-06-30,3385,Sam's Club 8162,DAVENPORT,52807.0,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,8,54.00,8.00
INV-200089,06/14/2026,3385,  Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,4,27.00,4.00
INV-200090,03/09/2026,2190,"  Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,2,37.50,1.50
INV-200091,06/11/2026,5102,  Corner Tap & Bottle,AMES,50010,STORY,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,1,14.63 ,1.75
INV-200092,03/31/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,1,$12.38,0.75
INV-200093,03/09/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,4,$53.96,7.00
INV-200094,2026-07-08,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99 ,26.99 ,1,26.99 ,0.75
INV-200095,05/06/2026,3385,SAM'S CLUB 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,1,$18.75,0.75
INV-200096,04-Jun-2026,2190,"Central City Liquor, Inc.",DES MOINES,50310.0,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,8,$150.00,6.00
INV-200097,2026-06-21,2190,"  Central City Liquor, Inc.",DES MOINES,50310,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99 ,37.49 ,1,37.49 ,0.75
INV-200098,19-Apr-2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,3,40.47,5.25
INV-200099,2026-05-10,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,7,84.70,2.62
INV-200100,2026-04-18,2501,  Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,2,$24.20,0.75
INV-200101,11-Jun-2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,1,14.63,1.75
INV-200102,2026-03-01,5102,Corner Tap & Bottle ,AMES,50010,STORY,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,$17.99,$26.99,1,$26.99,0.75
INV-200103,2026-02-09,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1081600,-,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,1,12.10,0.38
INV-200104,07/19/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,1,$12.10,0.38
INV-200105,06-Mar-2026,3385,Sam's Club 8162,Davenport,52807,SCOTT,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,4,107.96,3.00
INV-200106,2026-03-31,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,5,$67.45,8.75
INV-200107,13-May-2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200108,07/28/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,7,86.66,5.25
INV-200109,2026-04-07,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,8.25,12.38,4,49.52,3.00
INV-200110,02/15/2026,4829,CASEY'S GENERAL STORE #2879,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,$24.99,$37.49,1,$37.49,0.75
INV-200111,2026-07-03,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50 ,18.75 ,1,18.75 ,0.75
INV-200112,2026-07-08,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,12,81.00,12.00
INV-200113,2026-03-11,5102,Corner Tap & Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200114,16-Mar-2026,2633,HOMETOWN FOODS,CEDAR RAPIDS,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,$8.99,$13.49,1,$13.49,1.75
INV-200115,2026-04-04,4829,Casey's General Store #2879 ,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,N/A,37.49,4,149.96,3.00
INV-200116,2026-07-08,4829,Casey's General Store #2879,ANKENY,50021,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,4,$75.00,3.00
INV-200117,04/08/2026,2648,Wilkie Liquors,IOWA CITY,52240.0,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,$12.50,$18.75,4,$75.00,3.00
INV-200118,04/13/2026,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,1,26.99,0.75
INV-200119,03/28/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1081900,WHISKEY LIQUEUR,Sazerac Company Inc,43336,Fireball Cinnamon Whiskey,12,750,$8.25,$12.38,1,$12.38,0.75
INV-200120,2026-06-21,5102,Corner Tap & Bottle ,Ames,50010,STORY,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,7,47.25,7.00
INV-200121,03/29/2026,2633,  Hometown Foods,Cedar Rapids,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200121,03/29/2026,2633,  Hometown Foods,Cedar Rapids,52402,LINN,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
INV-200122,03/06/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081600,N/A,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,9,$108.90,3.38
INV-200123,2026-05-23,2633,Hometown Foods,CEDAR RAPIDS,52402,,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,19,512.81,14.25
INV-200124,2026-02-01,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,1,$12.10,0.38
INV-200125,14-May-2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,1,37.49,0.75
INV-200126,2026-07-01,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1041100,AMERICAN DRY GINS,Luxco Inc,35918,Five O'clock Gin,12,1750,8.99,13.49,1,13.49,1.75
